Iteration   34300, MSE = 0.00003
Iteration   34400, MSE = 0.00003
Iteration   34500, MSE = 0.00003
Iteration   34600, MSE = 0.00003
Iteration   34700, MSE = 0.00003
Iteration   34800, MSE = 0.00003
Iteration   34900, MSE = 0.00003
Iteration   35000, MSE = 0.00003
Iteration   35100, MSE = 0.00003
Iteration   35200, MSE = 0.00003
Iteration   35300, MSE = 0.00003
Iteration   35400, MSE = 0.00003
Iteration   35500, MSE = 0.00003
Iteration   35600, MSE = 0.00003
Iteration   35700, MSE = 0.00003
Iteration   35800, MSE = 0.00003
Iteration   35900, MSE = 0.00003
Iteration   36000, MSE = 0.00003
Iteration   36100, MSE = 0.00003
Iteration   36200, MSE = 0.00003
Iteration   36300, MSE = 0.00003
Iteration   36400, MSE = 0.00003
Iteration   36500, MSE = 0.00003
Iteration   36600, MSE = 0.00003
Iteration   36700, MSE = 0.00003
Iteration   36800, MSE = 0.00003
Iteration   36900, MSE = 0.00003
Iteration   37000, MSE = 0.00003
Iteration   37100, MSE = 0.00003
Iteration   37200, MSE = 0.00003
Iteration   37300, MSE = 0.00003
Iteration   37400, MSE = 0.00003
Iteration   37500, MSE = 0.00003
Iteration   37600, MSE = 0.00003
Iteration   37700, MSE = 0.00003
Iteration   37800, MSE = 0.00003
Iteration   37900, MSE = 0.00003
Iteration   38000, MSE = 0.00003
Iteration   38100, MSE = 0.00003
Iteration   38200, MSE = 0.00003
